name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1359,3,878,18,-0.6301018066918398,85.71428571428571,2.0089285714285716,0.09116512820981663
IsNested,1362,0,896,0,-0.657856093979442,0.0,0.0,0.0
HasNestedMethods,1258,104,627,269,-0.35255893381581704,72.11796246648794,30.02232142857143,0.29492969735330954
HasFunctions,1182,180,496,400,-0.2507932137612754,68.96551724137932,44.642857142857146,0.3519131399086715
IsFunction,1270,92,775,121,-0.6041978052234109,56.8075117370892,13.504464285714285,0.1129770029159119
HasFunctionParameters,1240,122,743,153,-0.600497233585064,55.63636363636364,17.075892857142858,0.12144773925876291
HasHigherOrderCalls,1216,146,537,359,-0.26374521449548993,71.08910891089108,40.066964285714285,0.344568878074653
HasFunctionCalls,1188,174,666,230,-0.5542400881057268,56.930693069306926,25.669642857142854,0.16458687567692254
HasCurrying,1270,92,764,132,-0.5838446612125026,58.92857142857143,14.732142857142858,0.13055780383071955
HasPatternMatching,1040,322,428,468,-0.3877143643801133,59.24050632911393,52.23214285714286,0.29328295024827306
HasLazyValues,1336,26,845,51,-0.611598948500105,66.23376623376623,5.691964285714286,0.1019780006904011
HasMultipleParameterLists,1289,73,772,124,-0.5634915172015942,62.944162436548226,13.839285714285715,0.14700826513784815
FunctionalScoreBool,1144,218,465,431,-0.26374521449548993,66.40986132511556,48.10267857142857,0.3469796383029756
HasVariables,1232,130,731,165,-0.59309609030837,55.932203389830505,18.415178571428573,0.12876984964963245
HasVariableDefinitions,1325,37,844,52,-0.6301018066918398,58.42696629213483,5.803571428571429,0.07761601469123282
HasInnerVariableAssignment,1318,44,830,66,-0.6171498059576253,60.0,7.366071428571429,0.09398532654284361
HasOuterVariableUsage,1259,103,768,128,-0.611598948500105,55.41125541125541,14.285714285714285,0.1085406895414057
HasOuterVariableAssignment,1270,92,805,91,-0.6597063797986156,49.72677595628415,10.15625,0.06097833745624887
HasSideEffects,1027,335,427,469,-0.40991779421019503,58.333333333333336,52.34375,0.2835027356960692
IsSideEffect,1166,196,629,267,-0.5264858008181246,57.66738660907127,29.799107142857146,0.18671548743245894
HasSideEffectCalls,1105,257,467,429,-0.3396069330816027,62.53644314868805,47.879464285714285,0.30860593276855947
HasSideEffectFunctions,1318,44,714,182,-0.4025166509335012,80.53097345132744,20.3125,0.27846082367664987
ImperativeScoreBool,1178,184,584,312,-0.421019509125236,62.903225806451616,34.82142857142857,0.2518376206969727
HasPointsBool,1171,191,490,406,-0.2600446428571428,68.00670016750419,45.3125,0.3471061683002831
ParadigmScoreBool,1155,207,602,294,-0.4968812277113488,58.68263473053892,32.8125,0.20739690431089725
