name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,10,0,10,0.0,0.0
IsNested,3,1,2,33.33333333333333,1.0309278350515463
HasNestedMethods,144,46,98,31.944444444444443,47.42268041237113
HasFunctions,390,65,325,16.666666666666664,67.0103092783505
IsFunction,34,4,30,11.76470588235294,4.123711340206185
HasFunctionParameters,140,26,114,18.571428571428573,26.804123711340207
HasHigherOrderCalls,329,60,269,18.237082066869302,61.855670103092784
HasFunctionCalls,80,11,69,13.750000000000002,11.34020618556701
HasCurrying,20,1,19,5.0,1.0309278350515463
HasPatternMatching,317,78,239,24.605678233438486,80.41237113402062
HasLazyValues,57,15,42,26.31578947368421,15.463917525773196
HasMultipleParameterLists,265,52,213,19.622641509433965,53.608247422680414
FunctionalScoreBool,596,90,506,15.100671140939598,92.78350515463917
HasVariables,47,11,36,23.404255319148938,11.34020618556701
HasVariableDefinitions,31,11,20,35.483870967741936,11.34020618556701
HasInnerVariableAssignment,39,12,27,30.76923076923077,12.371134020618557
HasOuterVariableUsage,18,0,18,0.0,0.0
HasOuterVariableAssignment,8,0,8,0.0,0.0
HasSideEffects,103,12,91,11.650485436893204,12.371134020618557
IsSideEffect,29,3,26,10.344827586206897,3.0927835051546393
HasSideEffectCalls,90,16,74,17.77777777777778,16.49484536082474
HasSideEffectFunctions,7,2,5,28.57142857142857,2.0618556701030926
ImperativeScoreBool,112,17,95,15.178571428571427,17.525773195876287
HasPointsBool,613,91,522,14.845024469820556,93.81443298969072
ParadigmScoreBool,570,86,484,15.087719298245613,88.65979381443299
