name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,71,24,47,33.80281690140845,9.195402298850574
CountNestedDepth,2,0,2,0.0,0.0
CountNestedMethods,228,97,131,42.54385964912281,37.16475095785441
CountFunctions,615,185,430,30.081300813008134,70.88122605363985
IsFunction,11,2,9,18.181818181818183,0.7662835249042145
CountFunctionParameters,119,44,75,36.97478991596639,16.85823754789272
CountHigherOrderCalls,575,177,398,30.782608695652176,67.81609195402298
CountFunctionCalls,177,69,108,38.983050847457626,26.436781609195403
CountCurrying,13,6,7,46.15384615384615,2.2988505747126435
CountPatternMatching,582,181,401,31.099656357388316,69.34865900383141
CountLazyValues,90,45,45,50.0,17.24137931034483
CountParameterLists,170,61,109,35.88235294117647,23.371647509578544
FunctionalScoreCount,827,211,616,25.513905683192263,80.84291187739464
CountVariables,180,67,113,37.22222222222222,25.67049808429119
CountVariableDefinitions,79,26,53,32.91139240506329,9.961685823754788
CountInnerVariableAssignment,80,25,55,31.25,9.578544061302683
CountOuterVariableUsage,114,51,63,44.73684210526316,19.54022988505747
CountOuterVariableAssignment,78,32,46,41.02564102564102,12.260536398467432
CountSideEffects,524,166,358,31.679389312977097,63.601532567049816
IsSideEffect,326,111,215,34.04907975460122,42.5287356321839
CountSideEffectCalls,390,138,252,35.38461538461539,52.87356321839081
CountSideEffectFunctions,152,60,92,39.473684210526315,22.988505747126435
ImperativeScoreCount,541,168,373,31.053604436229204,64.36781609195403
HasPointsCount,934,229,705,24.51820128479657,87.73946360153256
ParadigmScoreCount,702,172,530,24.501424501424502,65.90038314176245
