name,count,percentage_faulty,percentage_total_faults
FunctionalScoreBool,9,15.100671140939598,83.14732142857143
HasCurrying,8,35.146103896103895,7.38502041693531
HasFunctionCalls,9,21.34831460674157,23.597678916827853
HasFunctionParameters,9,18.571428571428573,20.0
HasFunctions,9,16.666666666666664,73.61111111111111
HasHigherOrderCalls,9,18.237082066869306,69.97767857142857
HasInnerVariableAssignment,9,31.2,14.82889733840304
HasLazyValues,9,40.963855421686745,11.798839458413926
HasMultipleParameterLists,9,19.622641509433965,47.22222222222222
HasNestedMethods,9,31.83183183183183,40.0
HasOuterVariableAssignment,9,26.05325244354567,3.041825095057034
HasOuterVariableUsage,9,23.464439655172413,13.934426229508196
HasPatternMatching,9,24.60966542750929,64.90196078431373
HasPointsBool,9,14.845024469820556,88.83928571428571
HasSideEffectCalls,9,23.16602316602317,49.18032786885246
HasSideEffectFunctions,9,41.45077720207254,23.19391634980989
HasSideEffects,9,19.544317134202554,63.87832699619772
HasVariableDefinitions,9,35.483870967741936,17.263056092843325
HasVariables,9,26.799007444168733,21.176470588235293
ImperativeScoreBool,9,19.407851832529023,66.92015209125475
IsFunction,9,16.535433070866144,6.084575600851841
IsNested,3,33.33333333333333,0.3194402190447216
IsRecursive,9,41.53846153846154,9.13926499032882
IsSideEffect,9,18.69006694409264,29.799107142857142
ParadigmScoreBool,9,15.302491103202849,78.68852459016394
