commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package fs2 - object Stream - class PartiallyAppliedFromBlockingIterator,6.0,1.0,7.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package fs2 - object Stream - method resourceK - <$anon: <error>>,4.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - method resourceWeakK - <$anon: <error>>,4.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - class InvariantOps,22.0,5.0,25.0,0.0,2.0,117.0,46.0,54.0,0.54,0.0,16.0,10.0,10.0,7.0,32.0,15.0,14.0,3.0,-0.0,2.0
HEAD,0,package fs2 - object Stream - class NothingStreamOps,4.0,1.0,5.0,0.0,1.0,6.0,4.0,2.0,0.3333333333333333,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - class OptionStreamOps,18.0,1.0,19.0,0.0,1.0,32.0,18.0,14.0,0.4375,0.0,15.0,7.0,7.0,10.0,18.0,11.0,19.0,3.0,-0.0,2.0
HEAD,0,package fs2 - object Stream - class ListStreamOps,8.0,1.0,9.0,0.0,1.0,27.0,12.0,15.0,0.5555555555555556,0.0,7.0,2.0,2.0,0.0,13.0,5.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - class NestedStreamOps,13.0,1.0,14.0,0.0,1.0,152.0,34.0,35.0,0.5072463768115942,0.0,8.0,4.0,4.0,0.0,35.0,7.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - class PureOps,13.0,1.0,14.0,0.0,2.0,13.0,8.0,5.0,0.38461538461538464,0.0,6.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,-0.0,5.0
HEAD,0,package fs2 - object Stream - class IdOps,6.0,3.0,9.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,-0.0,2.0
HEAD,0,package fs2 - object Stream - class IdOps - method idToApplicative - <$anon: <error>>,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - class FallibleOps,14.0,1.0,15.0,0.0,2.0,14.0,10.0,4.0,0.2857142857142857,0.0,6.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,-0.0,4.0
HEAD,0,package fs2 - object Stream - class IOOps,4.0,1.0,5.0,0.0,1.0,15.0,6.0,9.0,0.6,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package fs2 - object Stream - class ToPull,44.0,3.0,45.0,0.0,8.0,403.0,252.0,117.0,0.3170731707317073,0.0,88.0,116.0,116.0,230.0,334.0,230.0,320.0,70.0,-0.0,18.0
HEAD,0,package fs2 - object Stream - class CompileOps,33.0,2.0,34.0,0.0,7.0,273.0,44.0,231.0,0.84,0.0,27.0,20.0,20.0,13.0,65.0,28.0,41.0,5.0,-0.0,10.0
HEAD,0,package fs2 - object Stream - class StepLeg,14.0,8.0,21.0,0.0,2.0,26.0,19.0,8.0,0.2962962962962963,0.0,11.0,5.0,5.0,2.0,11.0,10.0,6.0,1.0,-0.0,3.0
HEAD,0,package fs2 - object Stream - method parZip - trait State,0.0,8.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fs2 - object Stream - method parZip - object Racing,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fs2 - object Stream - method parZip - class LeftFirst,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fs2 - object Stream - method parZip - class RightFirst,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package fs2 - object Stream - class PipeOps,3.0,1.0,4.0,0.0,1.0,8.0,6.0,2.0,0.25,0.0,4.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,-0.0,0.0
HEAD,0,package fs2 - object Stream - class PurePipeOps,2.0,1.0,3.0,0.0,1.0,4.0,3.0,1.0,0.25,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package fs2 - object Stream - class PurePipe2Ops,2.0,1.0,3.0,0.0,1.0,5.0,4.0,1.0,0.2,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
HEAD,0,package fs2 - object Stream - class StreamMonad,11.0,3.0,14.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,4.0,3.0,0.0,0.0,-0.0,2.0
HEAD,0,package fs2 - object Stream - method monadErrorInstance - <$anon: fs2.Stream.StreamMonad[F] with <error>>,9.0,0.0,9.0,1.0,5.0,12.0,12.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,5.0,3.0,0.0,0.0,-0.0,3.0
HEAD,0,package fs2 - object Stream - method monoidInstance - <$anon: <error>>,4.0,0.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.0,2.0
HEAD,0,package fs2 - object Stream - method alignInstance - <$anon: <error>>,27.0,0.0,27.0,1.0,3.0,58.0,55.0,0.0,0.0,0.0,26.0,12.0,12.0,9.0,40.0,22.0,24.0,4.0,-0.0,2.0
HEAD,0,package fs2 - object Stream - method functorFilterInstance - <$anon: <error>>,18.0,0.0,18.0,1.0,2.0,12.0,12.0,0.0,0.0,0.0,13.0,4.0,4.0,8.0,10.0,8.0,10.0,2.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - method functionKInstance - <$anon: <error>>,4.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package fs2 - object Stream - method monoidKInstance - <$anon: <error>>,4.0,0.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.0,2.0
