name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,1076,178,28,34,-2.48685496733035,16.037735849056602,54.83870967741935,0.23425561118982927
FanIn,1046,208,45,17,-3.2823995472552365,7.555555555555555,27.419354838709676,0.06096309252973418
CouplingBetweenObjects,1076,178,31,31,-2.5376344086021514,14.832535885167463,50.0,0.20756133914288388
DepthOfInheritance,447,807,17,45,-12.9474198693214,5.28169014084507,72.58064516129032,0.03648253891697806
LackOfCohesionInMethods,1097,157,38,24,-2.3006636826670794,13.259668508287293,38.70967741935484,0.16111597430104027
LinesOfCode,1126,128,27,35,-1.6236044657097297,21.472392638036812,56.451612903225815,0.2974364200213533
SourceLinesOfCode,1133,121,25,37,-1.471266141894326,23.417721518987342,59.67741935483871,0.3261200538242839
CommentLinesOfCode,1185,69,40,22,-0.8449863662087775,24.175824175824175,35.483870967741936,0.25038535300976233
CommentDensity,1113,141,37,25,-2.012913515460206,15.060240963855422,40.32258064516129,0.1855729054132372
NumberOfChildren,965,289,42,20,-4.602665020322068,6.472491909385113,32.25806451612903,0.046046404966736565
ResponseForClass,1106,148,26,36,-1.9452075937644708,19.565217391304348,58.06451612903226,0.28264385746300597
WeightedMethodCount,1111,143,29,33,-1.9113546329166033,18.75,53.2258064516129,0.2603417035346257
CyclomaticComplexity,1083,171,30,32,-2.4022225652106814,15.763546798029557,51.61290322580645,0.22277394790293434
DepthOfNesting,1085,169,31,31,-2.3852960847867477,15.5,50.0,0.21555865215333878
OutDegree,1125,129,32,30,-1.7251633482533322,18.867924528301888,48.38709677419355,0.24768774711607652
OutDegreeDistinct,1081,173,28,34,-2.4022225652106814,16.425120772946862,54.83870967741935,0.23885329973353855
PatternSize,1121,133,35,27,-1.8436487112208684,16.875,43.54838709677419,0.21357969981894098
NumberOfPatternVariables,1146,108,36,26,-1.4374131810464585,19.402985074626866,41.935483870967744,0.23346841661419718
ParadigmEntropyFraction,1254,0,62,0,-0.04944178628389184,0.0,0.0,0.0
ParadigmGiniFraction,706,548,15,47,-8.529608478674696,7.899159663865546,75.80645161290323,0.13668115832405808
